Año(aaaa)-Mes(mm),Promedio,Fin de mes
198406,"99,4","100,4"
198407,"101,73","102,65"
198408,"103,73","104,81"
198409,"105,93","107,01"
198410,"108,13","109,26"
198411,"110,43","111,55"
198412,"112,76","113,89"
198501,"115,17","116,6"
198502,"118,25","120,1"
198503,"123,15","126,27"
198504,"129,62","132,58"
198505,"135,95","138,7"
198506,"140,73","142,9"
198507,"145,51","147,79"
198508,"150,03","152,06"
198509,"155,3","157,9"
198510,"160,26","162,43"
198511,"164,58","166,64"
198512,"169,19","172,2"
198601,"173,7",175
198602,"176,59","178,1"
198603,"179,74","181,53"
198604,"184,43","186,56"
198605,"188,53","190,46"
198606,"192,35","193,76"
198607,"195,8","197,59"
198608,"199,17","200,72"
198609,"203,24","205,56"
198610,"208,05","210,3"
198611,"212,56","214,64"
198612,"216,97",219
198701,"221,03","222,79"
198702,"224,82","226,73"
198703,"229,02","231,08"
198704,"233,17","235,13"
198705,"237,44","239,41"
198706,"241,39","243,32"
198707,"245,55","247,56"
198708,"249,35","250,95"
198709,"252,84","254,39"
198710,"255,85","257,17"
198711,"258,74","260,3"
198712,"262,08","263,7"
198801,"265,82","267,98"
198802,"270,91","273,64"
198803,"276,92","280,09"
198804,"283,45","286,46"
198805,"289,96","293,16"
198806,"296,36","299,28"
198807,"302,36","305,03"
198808,"308,4","311,44"
198809,"314,85","317,96"
198810,"321,07","323,88"
198811,"327,01","329,88"
198812,"332,97","335,86"
198901,"339,62","343,12"
198902,"346,83","350,22"
198903,"354,12","357,72"
198904,"361,83","365,61"
198905,"369,93","373,7"
198906,"377,92","381,79"
198907,"385,71","389,2"
198908,"393,43","397,33"
198909,"401,8","405,84"
198910,"410,55","414,87"
198911,"419,76","424,16"
198912,"429,3","433,92"
199001,"440,08","445,69"
199002,"451,72","457,17"
199003,"463,4","468,96"
199004,"474,62","479,75"
199005,"485,99","491,64"
199006,"497,31","502,39"
199007,"508,35","513,71"
199008,"519,94","525,6"
199009,"530,54","534,9"
199010,"540,46","545,61"
199011,"551,33","556,63"
199012,"563,38","568,73"
199101,"574,09","578,96"
199102,"584,07","588,63"
199103,"593,75","598,46"
199104,"603,72","608,45"
199105,"613,76","618,61"
199106,"624,15","628,82"
199107,"634,4","639,37"
199108,"645,56","652,11"
199109,"660,52","667,18"
199110,"673,84","679,3"
199111,"687,59","694,7"
199112,"630,38","638,61"
199201,"645,18","644,27"
199202,"635,53","636,54"
199203,"640,33","641,59"
199204,"649,16","653,83"
199205,"659,81","664,37"
199206,"675,79","697,57"
199207,"704,5","705,14"
199208,"693,72","691,68"
199209,"697,11","702,81"
199210,"707,65","716,88"
199211,"722,43","725,45"
199212,"733,42","737,98"
199301,"745,52","746,05"
199302,"749,08","758,03"
199303,"764,38","766,41"
199304,"771,79","774,94"
199305,"779,71","779,56"
199306,"784,24","787,12"
199307,"795,08","801,35"
199308,"804,61","806,86"
199309,"809,66","810,84"
199310,"814,45","817,03"
199311,"814,08","811,73"
199312,"803,56","804,33"
199401,"816,15","818,38"
199402,"817,67","819,7"
199403,"819,76","819,51"
199404,"829,87","836,86"
199405,"841,43","841,12"
199406,"830,94","819,64"
199407,"819,06","815,62"
199408,"814,82","816,3"
199409,"830,06",842
199410,"839,32","838,55"
199411,"830,03","829,03"
199412,"829,37","831,27"
199501,"846,63","856,41"
199502,"850,9","856,99"
199503,"865,83","880,23"
199504,"873,39","877,9"
199505,"876,95","876,36"
199506,"874,86","881,23"
199507,"893,22","897,63"
199508,"935,1","960,19"
199509,"964,17","966,78"
199510,"984,96","994,5"
199511,"1000,58","998,16"
199512,"988,15","987,65"
199601,"1011,19","1028,14"
199602,"1029,64","1039,81"
199603,"1044,98",1046
199604,"1050,93","1058,9"
199605,"1066,24","1073,06"
199606,"1071,96","1069,11"
199607,"1064,1","1056,74"
199608,"1044,84","1042,32"
199609,"1040,84","1025,06"
199610,"1015,78","1005,83"
199611,"998,18","1002,28"
199612,"1000,79","1005,33"
199701,"1027,06","1070,97"
199702,"1074,24","1080,51"
199703,"1062,16","1059,88"
199704,"1060,65","1063,11"
199705,"1075,18","1077,09"
199706,"1082,37","1089,01"
199707,"1102,4","1109,65"
199708,"1132,7","1172,28"
199709,"1222,49","1246,27"
199710,"1262,89","1281,2"
199711,"1294,56","1305,66"
199712,"1296,7","1293,58"
199801,"1323,16",1342
199802,"1346,12","1343,85"
199803,"1357,1","1358,03"
199804,"1360,65","1365,72"
199805,"1386,28","1397,07"
199806,"1386,61","1363,04"
199807,"1371,54","1370,65"
199808,"1390,46","1440,87"
199809,"1520,52","1556,15"
199810,"1587,38","1575,08"
199811,"1562,71","1547,11"
199812,"1524,56","1542,11"
199901,"1570,01","1582,9"
199902,"1567,07","1568,3"
199903,"1550,15","1533,51"
199904,"1574,67","1604,44"
199905,"1641,33","1671,67"
199906,"1693,99","1732,1"
199907,"1818,63","1809,5"
199908,"1876,93","1954,72"
199909,"1975,64","2017,27"
199910,"1978,71","1971,59"
199911,"1944,64","1923,77"
199912,"1888,46","1873,77"
200001,"1923,57","1976,72"
200002,"1950,64","1946,17"
200003,"1956,25","1951,56"
200004,"1986,77","2004,47"
200005,"2055,69","2084,92"
200006,"2120,17","2139,11"
200007,"2161,34","2172,79"
200008,"2187,38","2208,21"
200009,"2213,76","2212,26"
200010,"2176,61","2158,36"
200011,"2136,63","2172,84"
200012,"2186,21","2229,18"
200101,"2241,4","2240,8"
200102,"2243,42","2257,45"
200103,"2278,78","2310,57"
200104,"2323,1","2346,73"
200105,"2346,93","2324,98"
200106,"2305,66","2298,85"
200107,"2304,28","2298,27"
200108,"2288,9","2301,23"
200109,"2328,23","2332,19"
200110,"2320,65","2310,02"
200111,"2310,47","2308,59"
200112,"2306,9","2291,18"
200201,"2274,96","2264,82"
200202,"2286,7","2309,82"
200203,"2282,33","2261,23"
200204,"2263,11","2275,35"
200205,"2310,24","2321,16"
200206,"2364,25","2398,82"
200207,"2506,72","2625,06"
200208,"2647,22","2703,55"
200209,"2751,23","2828,08"
200210,"2827,86","2773,73"
200211,"2726,66","2784,21"
200212,"2814,89","2864,79"
200301,2913,"2926,46"
200302,"2951,86","2956,31"
200303,"2959,01","2958,25"
200304,"2926,62","2887,82"
200305,"2858,94","2853,33"
200306,"2826,95","2817,32"
200307,"2858,82","2880,4"
200308,"2867,29","2832,94"
200309,"2840,08","2889,39"
200310,"2876,2","2884,17"
200311,"2844,55","2836,05"
200312,"2807,2","2778,21"
200401,"2749,14","2742,47"
200402,"2717,94","2682,34"
200403,"2670,8","2678,16"
200404,"2639,6","2646,99"
200405,"2719,43","2724,92"
200406,"2716,56","2699,58"
200407,"2653,32","2612,44"
200408,"2598,59","2551,43"
200409,"2552,78","2595,17"
200410,"2580,7","2575,19"
200411,"2530,19","2479,1"
200412,"2411,37","2389,75"
200501,"2362,96","2367,76"
200502,"2340,49","2323,77"
200503,"2353,71","2376,48"
200504,"2350,01","2348,32"
200505,"2339,22","2332,79"
200506,"2331,79","2331,81"
200507,"2323,38","2308,49"
200508,"2306,19","2304,3"
200509,"2294,52","2289,61"
200510,"2292,55","2289,57"
200511,"2279,85","2274,04"
200512,"2278,91","2284,22"
200601,"2273,66","2265,65"
200602,"2256,24","2247,32"
200603,"2262,36","2289,98"
200604,"2334,29","2375,03"
200605,"2417,99","2482,41"
200606,"2542,24","2633,12"
200607,"2511,74",2426
200608,"2389,65","2396,63"
200609,"2398,88","2394,31"
200610,"2364,29","2315,38"
200611,"2290,46","2300,42"
200612,"2261,33526315789","2238,79"
200701,"2237,06","2259,72"
200702,"2227,63","2224,12"
200703,"2201,39","2190,3"
200704,"2144,6","2110,67"
200705,"2007,91","1930,64"
200706,"1923,76","1960,61"
200707,"1950,87","1971,8"
200708,"2058,28","2173,17"
200709,"2117,05","2023,19"
200710,"2003,26","1999,44"
200711,"2047,72","2060,42"
200712,"2014,2015","2014,76"
200801,"1980,59","1939,6"
200802,"1903,27","1843,59"
200803,"1846,9","1821,6"
200804,"1796,13","1780,21"
200805,"1778,01","1744,01"
200806,"1712,28","1923,02"
200807,"1783,09","1792,24"
200808,"1844,29","1932,2"
200809,"2066,04","2174,62"
200810,"2289,17","2359,52"
200811,"2329,16",2318
200812,"2252,72","2243,59"
200901,"2252,98","2420,26"
200902,"2513,74","2555,89"
200903,"2477,21","2561,21"
200904,"2379,36","2289,73"
200905,"2229,95","2140,66"
200906,"2090,04","2158,67"
200907,"2052,68","2043,37"
200908,"2018,97",2035
200909,"1980,77",1922
200910,"1904,86","1993,8"
200911,"1973,57","1997,47"
200912,"2017,05","2044,23"
201001,"1978,19","1982,29"
201002,"1952,89","1932,32"
201003,"1909,1","1928,59"
201004,"1940,36","1969,75"
201005,"1984,36","1971,55"
201006,"1925,9","1916,46"
201007,"1874,52","1842,79"
201008,"1819,06","1823,74"
201009,"1805,6","1799,89"
201010,"1808,46","1831,64"
201011,"1863,67","1916,96"
201012,"1925,86","1913,98"
201101,"1866,64","1857,98"
201102,"1882,61","1895,56"
201103,"1884,38","1879,47"
201104,"1812,77","1768,19"
201105,"1801,65","1817,34"
201106,"1782,54","1780,16"
201107,"1761,75","1777,82"
201108,"1785,04","1783,66"
201109,"1836,15","1915,1"
201110,"1910,38","1863,06"
201111,"1918,21","1967,18"
201112,"1934,08","1942,7"
201201,"1852,12","1815,08"
201202,"1783,56","1767,83"
201203,"1766,34","1792,07"
201204,"1775,06","1761,2"
201205,"1793,28","1827,83"
201206,"1792,63","1784,6"
201207,"1784,43","1789,02"
201208,"1806,34","1830,5"
201209,"1803,18","1800,52"
201210,"1804,97","1829,89"
201211,"1820,29","1817,93"
201212,"1793,94","1768,23"
201301,"1770,01","1773,24"
201302,"1791,48","1816,42"
201303,"1809,89","1832,2"
201304,"1829,96","1828,79"
201305,"1850,12","1891,48"
201306,"1909,5",1929
201307,"1900,59","1890,33"
201308,"1903,66","1935,43"
201309,"1919,4","1914,65"
201310,"1885,91","1884,06"
201311,"1922,14","1931,88"
201312,"1934,08","1926,83"
201401,"1960,41","2008,26"
201402,"2040,51","2054,9"
201403,"2022,19","1965,32"
201404,"1939,27","1935,14"
201405,"1915,46","1900,64"
201406,"1888,1","1881,19"
201407,"1858,4","1872,43"
201408,"1899,07","1918,62"
201409,"1971,34","2028,48"
201410,"2047,03","2050,52"
201411,"2127,25","2206,19"
201412,"2344,23","2392,46"
201501,"2397,69","2441,1"
201502,"2420,38","2496,99"
201503,"2586,58","2576,05"
201504,"2495,36","2388,06"
201505,"2439,09","2533,79"
201506,"2554,94","2585,11"
201507,"2731,9","2866,04"
201508,"3023,29","3101,1"
201509,"3073,12","3121,94"
201510,"2937,85","2897,83"
201511,"2996,67","3101,1"
201512,"3244,51","3149,47"
201601,"3284,03","3287,31"
201602,"3357,5",3306
201603,"3145,26","3022,35"
201604,"2998,71","2851,14"
201605,"2988,38","3069,17"
201606,"2991,68","2916,15"
201607,"2963,99","3081,75"
201608,"2963,82","2933,82"
201609,"2921,15","2879,95"
201610,"2932,61","2967,66"
201611,"3106,4","3165,09"
201612,"3009,53","3000,71"
201701,"2944,65","2936,66"
201702,"2881,68","2896,27"
201703,"2943,49","2880,24"
201704,"2873,55","2947,85"
201705,2924,"2920,42"
201706,"2958,36","3038,26"
201707,"3038,76","2995,23"
201708,"2972,62","2937,09"
201709,"2918,49","2936,67"
201710,"2955,06","3011,44"
201711,"3013,17","3006,09"
201712,"2991,42",2984
201801,"2867,68","2844,14"
201802,2860,"2855,93"
201803,"2852,46","2780,47"
201804,"2765,96","2806,28"
201805,"2862,95","2879,32"
201806,"2893,22","2930,8"
201807,"2885,55","2875,72"
201808,"2959,57","3027,39"
201809,"3037,8","2972,18"
201810,"3080,48","3202,44"
201811,"3198,13","3240,02"
201812,"3212,48","3249,75"
201901,"3161,91","3163,46"
201902,"3115,15","3072,01"
201903,"3125,34","3174,79"
201904,"3155,22","3247,72"
201905,"3310,49","3357,82"
201906,"3256,02","3205,67"
201907,"3208,11","3296,85"
201908,"3412,65","3427,29"
201909,"3399,62","3462,01"
201910,"3437,73","3389,94"
201911,"3411,42","3522,48"
201912,3383,"3277,14"
202001,"3317,37","3411,45"
202002,"3408,24","3539,86"
202003,"3870,01","4064,81"
202004,"3986,56","3983,29"
202005,"3863,34","3718,82"
202006,3693,"3758,91"
202007,"3660,6","3739,49"
202008,"3788,1","3760,38"
